job-title,county-addl-step-label,county-addl-step,county-addl-step-label2,county-addl-step2,3-year-county-total-base,seiu1,seiu2,seiu3,,,,,,,,,,
Sheriff's Property & Evidence Custodian,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.00%,4.14%,3.64%,11.78%,,,,,,,,,,
Sheriff's Property & Evidence Manager,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.00%,4.31%,3.81%,12.11%,,,,,,,,,,
Sheriff's Property & Evidence Specialist I,,,,,4.03%,4.53%,4.03%,12.59%,,,,,,,,,,
Sheriff's Property & Evidence Specialist II,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.17%,4.67%,4.17%,13.01%,,,,,,,,,,
Sheriff's Property Investigator,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.00%,3.99%,3.49%,11.47%,,,,,,,,,,
Sheriff's Range Guard,,,,,4.31%,4.81%,4.31%,13.44%,,,,,,,,,,
Sheriff's Records & ID Clerk I,,,,,4.16%,4.66%,4.16%,12.97%,,,,,,,,,,
Sheriff's Records & Identification Clerk II,,,,,4.00%,4.37%,3.87%,12.23%,,,,,,,,,,
Sheriff's Records & Identification Supervisor,,,,,4.23%,4.73%,4.23%,13.18%,,,,,,,,,,
Sheriff's Senior Fingerprint Examr,,,,,4.12%,4.62%,4.12%,12.85%,,,,,,,,,,
Sheriff's Supervisor Helicopter/Airplane Mechanic,,,,,4.00%,4.30%,3.80%,12.09%,,,,,,,,,,
Social Services Aide,,,,,4.00%,4.06%,3.56%,11.62%,,,,,,,,,,
Social Worker I,,,,,4.23%,4.73%,4.23%,13.20%,,,,,,,,,,
Social Worker II,,,,,4.15%,4.65%,4.15%,12.96%,,,,,,,,,,
Social Worker III,,,,,4.00%,4.26%,3.76%,12.03%,,,,,,,,,,
Social Worker Supervisor,,,,,4.24%,4.74%,4.24%,13.22%,,,,,,,,,,
Solid Waste Site Supervisor,,,,,5.04%,5.54%,5.04%,15.63%,,,,,,,,,,
Staff Accountant,,,,,4.29%,4.79%,4.29%,13.38%,,,,,,,,,,
Staff Nurse,,,,,6.20%,6.70%,6.20%,19.09%,,,,,,,,,,
Statistician,,,,,4.00%,3.93%,3.43%,11.37%,,,,,,,,,,
Stock Clerk,Add to Boot Allowance,$300/year,,,4.79%,5.29%,4.79%,14.86%,,,,,,,,,,
Storekeeper,Allow reimbursement for insoles/mink oil/laces for Boot Allowance,remains $300/year,,,4.75%,5.25%,4.75%,14.75%,,,,,,,,,,
Storekeeper II (T),,,,,4.99%,5.49%,4.99%,15.47%,,,,,,,,,,
Substance Abuse Assessor,,,,,4.00%,4.17%,3.67%,11.85%,,,,,,,,,,
Supervising Agricultural/Standards Inspector,,,,,4.00%,4.27%,3.77%,12.04%,,,,,,,,,,
Supervising Air Resources Specialist,,,,,4.00%,4.45%,3.95%,12.40%,,,,,,,,,,
Supervising Animal Care Attendant,Add to Boot Allowance,$300/year,,,4.79%,5.29%,4.79%,14.87%,,,,,,,,,,
Supervising Animal Control Officer,Add to Boot Allowance,$300/year,,,5.39%,5.89%,5.39%,16.66%,,,,,,,,,,
Supervising Appraiser I,,,,,4.34%,4.84%,4.34%,13.53%,,,,,,,,,,
Supervising Appraiser II,,,,,4.38%,4.88%,4.38%,13.64%,,,,,,,,,,
Supervising Assessment Clerk,,,,,6.30%,6.80%,6.30%,19.40%,,,,,,,,,,
Supervising Audit-Appraiser,,,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Supervising Child Support Officer,,,,,4.00%,4.38%,3.88%,12.27%,,,,,,,,,,
Supervising Communicable Disease Investigator,,,,,4.30%,4.80%,4.30%,13.41%,,,,,,,,,,
Supervising Community Health Promotion Specialist,,,,,4.29%,4.79%,4.29%,13.36%,,,,,,,,,,
Supervising Correctional Counselor,,,,,5.04%,5.54%,5.04%,15.61%,,,,,,,,,,
Supervising Criminalist,,,,,4.88%,5.37%,4.87%,15.13%,,,,,,,,,,
Supervising Electronic Instrument Technician,,,,,4.59%,5.09%,4.59%,14.28%,,,,,,,,,,
Supervising Environmental Health Specialist,,,,,4.28%,4.78%,4.28%,13.34%,,,,,,,,,,
Supervising Forensic Evidence Technician,,,,,4.37%,4.87%,4.37%,13.61%,,,,,,,,,,
Supervising Health Information Specialist,,,,,4.00%,4.19%,3.69%,11.88%,,,,,,,,,,
Supervising Human Services Control Specialist,,,,,4.00%,4.36%,3.86%,12.21%,,,,,,,,,,
Supervising Human Services Specialist,,,,,4.00%,4.28%,3.78%,12.07%,,,,,,,,,,
Supervising Industrial Hygienist,,,,,4.00%,4.46%,3.96%,12.43%,,,,,,,,,,
Supervising Latent Print Examiner,Additional Step Increase for employees who have been on the top step for at least 12 paid months,5%,,,4.00%,3.50%,3.00%,10.50%,,,,,,,,,,
Supervising Nurse,,,,,5.18%,5.68%,5.18%,16.04%,,,,,,,,,,
Supervising Occupational/Physical Therapist,,,,,4.62%,5.12%,4.62%,14.37%,,,,,,,,,,
Supervising Office Assistant,,,,,4.22%,4.72%,4.22%,13.16%,,,,,,,,,,
Supervising Park Ranger,Premium for Time Spent working on Homeless Outreach Team,$3/hour,Add to Boot Allowance,$300/year,4.88%,5.38%,4.88%,15.13%,,,,,,,,,,
Supervising Pest Management Technician,Add to Boot Allowance,$300/year,,,4.33%,4.83%,4.33%,13.50%,,,,,,,,,,
Supervising Public Health Microbiologist,,,,,5.04%,5.54%,5.04%,15.61%,,,,,,,,,,
Supervising Real Property Agent (T),,,,,4.41%,4.91%,4.41%,13.73%,,,,,,,,,,
Supervising Sheriff's Emergency Services Dispatcher,,,,,4.00%,4.26%,3.76%,12.02%,,,,,,,,,,
Supervising Stores & Mail System Specialist Auditor & Controller,,,,,4.00%,3.93%,3.43%,11.35%,,,,,,,,,,
Supervising Treasurer-Tax Collector Specialist,,,,,4.08%,4.58%,4.08%,12.73%,,,,,,,,,,
